Comment,Initial Reply,Replies,Likes
"Me: Brings in war weapons

Teacher: Why you bring dat

Me: Cause this is America",Hhhhh,1,8
"If your own race doesn't kill you first, don't worry the police will. Why: This is America",Shut up will you,8,65
This is south africa  unfortunately,???,1,1
Who is watching this in 2020 and being like he’s right,Superior Unicorns me black life’s matter :raised_fist_light_skin_tone::raised_fist_medium-light_skin_tone::raised_fist_medium_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_dark_skin_tone:,7,526
this hits differently today,all the world with you #blacklivesmatter support from iraq,4,369
"“We said Black Lives Matter. We never said “only Black Lives Matter”. That was the media, not us. We know that all lives matter. We’ve supported your lives through history. Now we need your help  for black lives that are in danger”",I gotchu sis.,8,377
People saying “this song is two years old and still relevant”... this song is going to be relevant for the next 100 years in America 🤣,That's part of the problem,13,650
This song is relevant again,Yes. I was very sad and angry seeing the police who should protect us do this to black people,8,442
I'm watching this after the black jogger got shot in Georgia,acash93 me too,73,1787
"When there’s a virus that affects the respiratory system but everyone’s hoarding toilet paper

This is America",Half Blood Scum is ur name a reference to harry potter ?,58,3619
Jesus this song is seriously aging like fine wine,Meami StankFace I WAS JUST THINKINH THAT,19,1909
"Listening the song After a Police killed a Black Man, This is america",Rip George Floyd :folded_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone:,5,338
This song can be heard across Minneapolis.,As it should NO JUSTICE NO PEACE,1,304
Sounded like 21 savage saying straight up at 1:39 😭,Stackzz it is,1,1
"My fellow humans: This wasn't a ""prediction"". It was and is a historical document. It only seems like a ""prediction"" if you are just now realizing there's a problem.",So much this :raising_hands:,12,630
this hits harder now. June 2020.,Yeah bro,3,296
"*shoots gun*

“This is America”

Seems about right","Shoots church choir ""This is america"" 
 Also fitting",44,5112
why are people disliking? this is what america is like.,No they hate it because they want tol make it 696k,37,2121
When he shot the choir and the beat dropped. i was like :O  did not see that coming!,GodBlessHipHop You didn't react like that when he shot the first guy?,69,3454
special delivery,Wtf he done did,43,5916
"Stop saying that he predicted this. THIS IS AMERICAN HISTORY SINCE THE SLAVES (even before then, thank you na). Let’s donate.",Actually we should donate to the people who are in need and thus song is amazing and well thought I mean every seen and it's just genius,57,3422
"justice for black people. RIP George Floyd, Breonna Taylor and Ahmaud Arbery","Do you have the same energy for the black kids and other innocent black people being murdered by other blacks? Nope, only when it’s a white person. SMDH",37,2105
ALL LIVES CANT MATTER UNTIL BLACK LIVES MATTER 👊🏻👊🏼👊🏽👊🏾👊🏿,who said they didnt?,21,438
The dislikes are from people who couldn't handle living without getting a haircut or their nails done. Why is this video still so spot on after 2 years? smh,"The people who 'can't handle it' are the majority of Americans, that live paycheck to paycheck. People want the government to reopen because they need to work. The image of the crazy white person that just can't handle waiting to get their nails done or whatever, is a false one.",35,3164
"American: its mom, not mum!
British person: ITS SCHOOL, NOT SHOOTING RANGE",Yeah pretty much,12,1672
Who else is coming back to this randomly during quarantine?,Here,89,3817
"To: Ahmad Arbury, shot to death by father and son. George Floyd, kneed to death by three policemen, in the end causing country wide riots, killing several people too. Heather Heyer, ran over by Neo-Nazi in terrorist attack. Daniel Shaver, unarmed man shot to death by police for pulling up his pants, suspected by police of pulling out a gun. Breonna Taylor, an officer killed in her house by policemen, as her boyfriend thought robbers were coming in he started shooting at the officers, who shot back and killed Breonna. Eric Garner, asphyxiated to death by policemen. John Lennon, the famous former Beatle shot dead outside apartment by obsessed fan. Rapper Nipsey Hussle, shot dead in Los Angeles strip mall for no reason. Abraham Lincoln, James Garfield, William McKinley, and John Fitzgerald Kennedy, all shot during presidency. The 23 killed in a racially driven shooting at an El Paso Walmart. The 9 innocent people killed in a Dayton Nightclub. To the 26 children and mother of shooter killed during Sandy Hook shooting rampage. The four innocent people killed near and inside a Jewish deli in Jersey City.  The two teenagers shot in Saugus High School. The seven innocent people killed in the Midland-Odessa shooting rampage. The three innocent people killed in the Gilroy Garlic festival shooting. The 58 people shot dead in a 100+ round shooting in Las Vegas, Nevada. The 49 innocent people shot in the Orlando Nightclub shooting. The 32 innocent people killed in the Virginia Tech shooting. The 12 people killed during the Borderline Bar shooting. The 12 people killed during the Aurora movie theater shooting. The 13 students and teacher shot during the Columbine High School massacre. The 21 innocent people killed at a San Ysidro McDonalds. The three killed in the Boston Marathon Bombings. The 38 people killed in the 1920 Wall Street Bombing. The nine people killed in the Charlestown church shooting. The 11 killed in the Pittsburgh Synagogue shooting. The six innocent people killed in the Isla Vista massacre. The 168 people killed during the Oklahoma City bombing in 1995. Sadly, I have only said a handful of these incidents. I bet we all want this to stop now.","Yes please, stop this nightmare now

It's 2020. Why does racism still exist...",6,133
The biggest joke I ever heard is “equality in America “,true,35,688
"8% Girls
5% Violence
5% DoPe



82% *AmErICa*",I see plenty of women,28,1617
Another innocent man gunned down for just jogging. Welcome to America,Nathan Frank welcome to this “great nation”,23,446
"This song was 100% true when it was released but now, that’s turned into a 200%",:3,8,513
99% of America still DO NOT understand the message here.,While half the message is literally just a misunderstood concept of America.,470,34729
"I can't breath


This is America","No justice, no peace. The riots are only going to stop when America is a country where everyone can breathe.
Rest in power George Floyd, we'll start a revolution in the name of you and every single innocent POC that has fallen victim to America's busted ass justice system.",83,5036
People be like: o no he is racist   “This  Is America” ; My people be like :well another 42 students disappeared and the government hided the case “Latinoamerica “,Saludos desde Panamá,3,19
America really is a third world country with a first world country skin on,It may have problems but please check your privilege and understand that all other countries are dealing with these problems too. The difference is the people aren't as passionate and the governments there dont allow free speech,9,147
Anyone else here from Call Me Maybe cuz it just got recommended again,"At first i was confused, but then a minute later it actually got recommended on me... So... Yes im here",1,1
"the fact that they’re risking their lives by making these songs gives me so much respect to them


edit: if you’re gonna be pressed like this kid in the replies, just don’t say anything at all. dont like, scroll, and move on.",How are they risking their lives?,2,0
"Teacher: why are you wearing a bullet proof vest?
Me: this is America",Copied comment,31,2632
Biden has won! :D,:D,3,5
This is USA**,You are right!,1,3
"It’s sickening how this song is still relevant to our current events. You would think that after two years, we may have changed.",Sometimes I feel like things are  just getting worse. This world is insane. That's an understatement.,15,407
1:56 Se esse clipe fosse Brasileiro os mimisentos virariam foras raivosas vendo essa parte 😂😂😂,É muito verdade,1,0
"When an unarmed black man dies at the hands of police...

*This is America.*","Yeah, I'll have the usual",2,291
2:35 - 2:39 Can someone explain to me why someone wearing black is riding a white horse?,It's common in a lot of stories that a character wearing all black and riding a white horse is the representation of death.,1,1
This is a masterpiece....it blows my mind,Wigger,2,0
it’s crazy how this was 2 years ago and nothing has changed,If anything shits gotten much worse:disappointed_face::disappointed_face::skull::skull::skull:,48,2547
“I can’t breathe because THIS IS AMERICA AND I’M BLACK “ 2020 😔✊🏻George Floyd,imma go ahead and say that the pfp isn't you then,6,181
George Floyd... He didn’t deserve it... This is America...,I hate america.,1,143
"I see people writing comments about this is reflective of how America is now, no. It’s been like this for as long as anyone can remember. It’s just at the forefront now more than ever.",First reply,4,690
"RIP George Floyd, this is AmErIcA.",ameriKKKa,1,211
"America:attacks Iran
Iran:why?
*THIS IS AMERICA*",That was really screwed up xD,10,2
When are we ganna look at this and say this isn’t America anymore,Probably never because America is a cursed country. It's built on such rotten grounds that a collapse is inevitable.,14,634
I think this is one of the best films Abed has made.,"Holly shit, haven't thought of it until you said it!",31,2204
"31 years ago, when I was 11, my generation got our wake up call. 
Janet Jackson's Rhythm Nation 1814. Not just the single.....the entire album. It shaped a generation, turned a generation, moved a generation. 

Something went wrong. I am not sure when exactly. I was so sure the progression of the 25 years following the release was going so well.....I just did not get it, until it hit me directly in the face. 

I am now 42. I am going into the middle of my lifetime expectancy. As is all of the Janet followers of the ideal that:
""In complete darkness we are all the same. It is only our knowledge and wisdom that separates us. Don't let your eyes deceive you.""

It is shortly going to be no longer in our hands to try and bring about any kind of progress and change. That is for those younger than myself to begin taking up. This is your message. 
And though Janet had to kind of dance around the topic, it was still there for us to hear and see within the videos. 
This.......this is literally hitting it on the head. It is the right message. And it has to be heard. 
Get off your asses
Get off your phones
Get out there and communicate with the people around you directly. 

In America we have just held the most insane and ""what the fuck"" election cycle in my lifetime. Our President Elect is Joe Biden. 
I am begging my Democratic friends to not forget there was almost half that did vote Republican, and or are still President Trump supporters. Don't leave them behind in your progression forward. Americans are a breed of red and blue.....black and white. All colors of all countries are here within the confines of ours. 
All faiths, all orientations living together more coherently than any other combination of 20 countries out there. 
Moving forward requires everyone going forward. No one can be left behind while others move forward. It remains our biggest mistake through the centuries. This includes the Trump supporter or the Republican voters. And I know.......they did not extend the same hand 4 years ago. I get it. 
But if you witnessed the disintegration of the last four years play out.....you know that you cannot repeat the same mistake. Pick the people up, dust them off, and bring them along. Let them know as well that they are part of America too.",This was beautiful I’m ngl I got kinda confused toward the end but I agree our country is more divided than ever almost half the votes went to trump the other to Biden we need to do something fast we shouldn’t be scared for the future we shouldn’t have to protest for people to be equal your a very smart person I agree with everything you said,2,17
I feel like this song is the definition of 2020 and racism,It's crazy how racism is still a thing... I saw a lot of clips of black people getting beaten up by cops for no reason and a girl getting harassed by wearing a Puerto Rico shirt and the cop didn't help her at all.. Literally native Americans lived here before and Columbus found this country and their not white... Idk why white people think they own this country :man_facepalming_selector:,3,285
If ww3 ever happens ima go outside blasting this song,U mean the civil war,1,0
I didn't know lando calrissian was a rapper.....,this isn't Lando calrissian. this is a wannabe,1,3
people who disliked this didn't understand the meaning of the song or they just racist,maybe they disliked it because of the fact that it’s still happening to the world right now,7,232
This song hits different in 2020.,really.,6,467
"- The 17 seconds of silence represent the 17 victims of the Parkland shooting
- The church choir represents the Charleston Church shooting
- The pose he makes after shooting the man in the beginning is a reference to Jim Crow
- The hooded figure on the white horse is a reference to the horsemen of the apocalypse 
- The delicate treatment of the weapons used represent how America favors guns over people's lives
- The eccentric dancing represents how the media and entertainment distract you from the real issue
- The people on the top balcony with phones/masks represent how most would rather record than to help
Feel free to add more references",Factz,76,1659
"And the police officer got away with murder, hiding behind riot police in his own home. Has he got any shame?","They won't be able to protect him forever. 
If they don't punish him by law, people will do it themselves",14,240
"2020 is such an awful year man 🤦🏾‍♂️

Can we like forget that 2020 was a year",And it’s only half over. Wtf is this year,12,458
"1:47
America join the game
Iran: we play better than you
America: AimBot Activated by This is America",ThanksIHateIt,1,2
"Hi, I'm sorry for the English mistakes, I'm from Brazil and I'm writing this text through Google translator.
 I'm not sure if in the United States I'm white, maybe I'm Latin for you, I don't know, but here I'm white. A few years ago, I thought that all this racism was something that people exaggerated a little ... nowadays I realize that I was TOTALLY wrong, here in Brazil, with our current president, things are getting stranger and stranger , Brazil is with less and less hope, I have friends who have already told me that they are used to suffering racism, because it is something frequent, it really hurts, it leaves any human being with the minimum of intelligence, extremely bad.
 Anyway ... I'm ashamed to be part of a world where things like what happened to George Floyd happen so often ... But what I really want to say is that, even though I'm not the right person to talk about racism, after all I never suffered anything like that, I wanted to tell you that you have this problem in your life, that you stay strong, it's easy to talk but, keep your head up, one day things will be the right way, it's a matter of time and struggle .
 Again, sorry for the mistakes in English, and I hope I got the message I wanted.","i get you man, us light skinned latinos, even though we're not really white, very often benefit from white supremacy and racism even without realizing. racism is a problem EVERYWHERE. us more privileged people need to make sure oppressed voices are heard . black lives matter
edit: i know there are white latinos btw i meant the ones who aren't/are mixed. but the same goes to them",5,269
"Looks like Childish Gambino wasn't just commentating, he was prophesizing.","He wasn't prophesizing anything, this shit been going on continuously for ages.",10,479
"The amount of people saying that ""it's getting more accurate"" is ridiculous. It has been accurate for YEARS. You've just finally acknowledged it.",Its been accurate for centuries,6,348
This song has aged well. In the worst way possible. Smh.,I know have you heard of the cop kneeling on the black mans neck while he said he couldn’t breathe but the cop kneeled harder,3,323
0:52 WTF you killed guy,yeah,1,0
Can't believe this was 2 years ago. Still entertaining and interesting,Where's the time going?,25,2206
This song hit mad different in 2020,Moistmelon Zach And during Quarantine,38,2948
Biden won!,OMG I HAVEN'T CHECKED BUT THANK GOD,4,8
The fact that it’s 2 years later but this song is more important now than ever.. I see you. I hear you. I mourn with you. I stand with you!!! #blacklivesmatter #togetherwerise,How to help: tell everyone to watch the 13th Documentary on YouTube by Netflix!,1,225
For the ppl viewing this: The message behind the song is the problem of BLACK on BLACK violence in America.,No lmao it all the problems  in the country,2,1
Remember WHO made America this way,Hint:They ain’t white,2,2
"childish gambino: *kills 17 people in this song*
also him: _its time to get funky_",oh boy that FONKEH,45,3391
Justice for João Pedro. Justice for George Floyd. Justice for Breonna Taylor. Justice for every black person that has ever died on this planet due to racism.,"Racism, and just general police brutality. Justice for Daniel Shaver!",13,444
Honestly the facial and body movements of Donald are insanely artistic..,It’s supposed to be stereotypical,27,5862
"More than 2 years later, this song is still relevant to the U.S. Actually quite sad.",Yes :c,499,59539
I think this song is more American than American national anthem.,No,127,13106
Who is watching this from self quarantine in 2020?,Yup,72,2702
And notice how he DIDN’T say the N-word.,",':^)",246,12627
"There is alot of symbolism in this video. for example: He shot the guy like that because he was imitating jim crow, a cartoon black imagery promoting racism.
His pants are that of the confederate army uniform.

Dance distracted from the riots and violence, we look to media to be entertained and dont focus on tragedy.
70-80s model cars abandoned, symbolizes how we've stopped progressing, ""racism is over"" and there has been no growth since, when  there is still much to be rectified.  

Smoked a joint as if to cope with the reality, and then dismisses it as if it never happened. 
Bag covered head shows that there are nameless faceless victims of violence, meant to be forgotten. 
Students recording from above with their cellphones instead of taking action, it also shows how when we see something happen we film it, and we don't intervene (Usually). The part where the choir singers were singing and he shot them all down was reffering to the charleston shooting, a crisis that happened in 2015.
 
There was also a white horse going by in the backround, In some cultures, white horses stand for the balance of wisdom and power. In others, like Christianity, the white horse is a symbol of death. The horse is a universal symbol of freedom without restraint, because riding a horse made people feel they could free themselves from their own bindings.
  
Also, I would have said that the use of the smiling and happy dancers was either more about (or in conjunction with the other messages) how we are happy to celebrate black culture -- their dance crazes, funny memes and entertainment -- except the moment it comes down to recognizing other parts of black culture, like rampant gun violence, racism and terror. ...then we don't care about it anymore. Black culture and black lives only matter when they're entertaining you, not when they're dying. Hope this helped everybody!",Government doesnt protect the 2nd A though...they are actively trying to take our guns away...restricting weapons doesnt make it any harder for criminals to get ahold of them,149,2695
"everyone: fornite dances
me and intelectual: jojo poses",Emily Patricia Garcia Canals 2020 hi I’m here to hi bye,1,8
Youtube recommended me something very relevant.,what's this song trying to say exactly,1,0
734.725 dislikes? Todo bien en casa?,A alguna Gente no le gusto el mensaje y listo,1,2
I remember when this song was number 1 and the riots weren’t a thing yet,Now they are...,5,663
"Ok so all the messages I can catch:
0:21 A man barefoot with an old guitar, representing the poor class black man
0:41 The Jim Crow faces, also he is dressed with gold chains and fancy pants but shirtless, maybe representing the middle class or America itself?
0:50 The gun pops out of knowhere, how easy you can get guns, he is with his head covered becouse it can be anyone and you don't know who
0:55 Gives the gun to the kid (school shootings)
1:10 The viral dances and memes, how our society doesn't cares of all the chaos around us
1:56 Charleston Massacre
2:00 All the police cars in the video are empty, representing how police does nothing to stop the chaos happening in the country
2:28 The people that instead of helping just record everything in their phones to get some views
2:37 The white horse representing the Apocalypse
3:24 After all the chaos, this place is empty, representing how calm or messy can be the U.S, also the music tells this by mixing the trap and gospel 
3:54 The place looks very dark here on purpose, repressenting how black people are still in the shadows like an ethnic group",Damn,67,1517
"This is america, where the words ""I cant breathe"" are not understood","they were absolutely understood. i would’ve tackled the prick, but hindsight and actually being there are very different than watching on a screen. why haven’t we poured over the white house like that scene in Lord of the Rings: RotK when Aragon returned with those ghosts? power in numbers.",6,430
children with masks? people of color in protests? murders? this looks like prophecy for 2020,Hotel? Trivago,45,2634
"My team's aim in siege: 0:48
Enemy team's aim in siege: 1:56",How I look to a doc spawnpeeking: 3:13,1,0
"Cops: running around, trying to find the murderer
Murderer: dancing in the middle of it all",I wonder who it is definitely not the one dancing when someone was murdered,12,3161
Is this the same guy who made *redbone*,No,1,2
this song explains perfectly the situation in america currently,"Not just currently it was like this for a long time, the only difference is that know a lot of people saw what happened this will keep happening and it will not stop unfortunately.",29,1882
Who’s after George Floyd death.. this is basically what’s going on right now! 2:27 they are wearing mask & recording 😳 y’all better wake tf up!,Chill bro..u better chill:hundred_points::eye::glowing_star::eye:I see where u goin wit that shit,2,117
"This is America ...

...I can’t breathe.",this ain’t america it’s a comment section,34,2478
Rest in peace to all the innocent black people killed due to racism. Black lives matter!,Lotte Whit this song isn’t about that....,13,488
"2020. It’s truly disgusting that people can’t understand we’re all equal. Nobody chooses skin color or race. We are all people and everyone deserves rights. We really haven’t changed since history. Black people shouldn’t be scared to go out or just live a normal life. People are protesting now and cops are shooting, tear gassing, and arresting people for it. That’s awful. What happened to George Floyd was disgusting. He should have life in prison. Now there bringing military into this for people just protesting for what’s right. The president is hiding and doing nothing. What has America come to? This song is amazing. BLACK LIVES MATTER ✊🏽✊🏾✊🏿","PREACH! Why is ending racism so controversial??? BLACK LIVES MATTER, FUCK RACISTS",55,1847
"*shot*
""This is america"" at the beginning got me... but still
it has a good impact",lol,21,2675
"shout their names for the entire world to hear. George Floyd
Trayvon Martin
Breonna Taylor
Ahmaud Arbery
Tamir Rice
Oscar Grant
Eric Garner
Philando Castile
Samuel Dubose
Sandra Bland
Walter Scott
Terrence Crutcher","Nobody important, just useful deaths for your shitty political movement.",24,348
DAMN.,I see what you did there :winking_face:,40,3328
"This def needs a sequel by the end of this year, black man shot for jogging, people protesting during a pandemic and a president telling us to try injecting ourselves with disinfectants",Yes. We need to start calling out ceiling gang. Cringe.,38,2118
Everyone inside America thinks there the best country. But everyone outside America knows they are the worst.,"Actually i wanted to live in America since I was little,but with all the shit that's going on,my mind was completely changed",30,238
"Another man in America is daed because black, this is horribile,i'm from italy and in my country the people is very upset  by this tragic episode .We are outraged,justice for George",It's so embarrassing to be American at this point:pensive_face:,17,236
im not black but i hear you. im not black but i hear you and mourn with you. no freedom until we're equal ✌🏻✌🏽✌🏿 #blacklivesmatter,Same I really hope that things change. That everyone can live in freedom and are treated equally. I am praying for the future!,12,354
Good new: Biden won,Terrible,1,2
What country is this again?,Iran?,1,2
Did Dad make the dance for this? I feel like I heard him in the background on the adlibs,Dax* not dad ctfu,1,0
this needs to be shown in schools during history class.,Yes,4,133
"*rest in peace all the angels who died at the hands of racism, we will do justice* ❤️🙏
🕊️👶🏼👶🏽👶🏾👶🏿🕊️    🖤✊🏼✊🏽✊🏾✊🏿🖤",Ooooo shit,9,541
This is still America,Sad but true,2,294
735k people who disliked are the same people who voted for trump in 2020.,You are so Sad. Sick from that Idiot President Trump and the TV.  Pathetic.,1,1
Can't believe this is older than a year old already,I know people younger than this song,21,2638
"Who’s here because of the murders of Ahmaud Arbery and Sean Reed? This Is America.

Edit: Now George Floyd. There’s something wrong with America when I have to add another name due to police brutality.",I am :(,70,2371
"Me looking at all the empty shelves at the grocery store.

*This is America*","kimicheeks ;I do not have to be subject to fear. 
Have confidence in God! Whatever you give attention to becomes big in your life. 

Isaiah 54:14 
No fear, no terror, no doubt. Worry lowers immunity",31,1930
"Mom: Why are you wearing a bulletproof vest to school?

Me: *THIS IS AMERICA*

Thanks for the likes lol 😂","Ridiculous country, all people I know who went to America said, americans are stupid.
Just look at their President, I never saw such a cringy, racist president who has orange skincancer color.",50,1861
"America: Attacks Iran
Iran: Why
America: This is America","Iran: No it isn't!
America: *It is now*",92,5769
"No matter how many times I watch this, it'll never get old. The energetic choreography, all the subtle messages throughout the background, and sometimes in front of your face, and just how COOL the song itself is! Donald Glover is always KILLIN' it!!!!!",I can sense my mothers disappointment in me . It has hidden messages and it’s kinda spooky. Search a video of the hidden meanings.,5,379
"As a black artist sending a message, when you accrue 733K+ haters, you're most likely doing something right.","Convey a message, while making an extremely good song.",17,455
WORLD WAR 3 THEME SONG OF AMERICA,Adventures of Adrìan :skull:,5,312
"Irán: why???
USA: THIS IS AMERICA",Stolen I mean how you gonna steel one of the most likes comments and then expect people to act like you didn’t steel the comment,10,367
"Man wrestles crocodile because it stole his Vegemite sandwich




THIS IS AUSTRALIA",Vegemite?,13,596
The only Donald we need in this country,ikr,1,24
"This song is still relevant in 2020, just shows we havent changed at all.",Yes America is getting more drugs,12,356
The dancers’ outfits are reminiscent of the type of clothing worn by the Little Rock Nine and other African American teens who participated in  integrating schools in the 50s.,"Huh no wonder 
I was thinking about it how the clothes present how even with education black people still are hired less, makes a whole lot of sense
Thanks for reminding me",2,64
I’m back 9 months later 😭🔥,Gay Davine Jay this is america,64,3743
This is how the world looks at USA,And I blame violent rap. It's so annoying that we choose to make celebrities out of people who rap about being selfish and murderous. Then we wonder why the world hates us. And this song is not helping. Yes we get the messages here but to a foreign country this song totally looks like we are proud of our violent culture in hiphop. All because these adult kids wanna play bad boys they end up making us look like violent animals because the other adult kids also want to play bad boys and so make super stars out of idiots.,1,25
Probably my 27th time watching this...still get goosebumps.,Azerrz doubt it,8,111
THIS IS AMERICA BLACK LIVES MATTER,yes,1,4
The dislikes are from trump supporters,Wtf,2,6
"people need to understand that this song didnt “predict the future”...... it brought up issues and spoke about police brutality, favoring guns over lives, racial profiling, racism in general, and so much more which have all existed for CENTURIES!",...true...but the young people with face masks though,56,1826
oh shit was that really sza at the end? this video is legendary,yes it really was,24,2638
"Nada:

absolutamente nada:

Tic tok: This is american",Aleluia br/pt !!!!! Já tava me sentindo sozinha kakakkaka,1,12
Soooooo are we gonna ignore the fact that this song actually came out 2017 and not 2018???....these glitches are getting worse this year,"This was uploaded after the release. Not a glitch, just didn't come out with the song.",2,3
You know you've been on the internet too long when the... *OTHER* version of this song is all you can hear.,Boa tarde :bouquet:,1,1
"SAY THEIR NAMES....

Billy Ray Davis, La'vante Biggs, Calin Roquemore, Dyzhawn Perkins, Christopher Davis, Marco Loud, Natasha McKenna, George Floyd, Eric Garner, Michael Lee Marshall, Tony Robinson, Anthony Hill, Mya Hall, Phillip White, Samuel Dubose, Michael Sabboe, Jamar Clark, Tamir Rice, Richard Perkins, Brian Keith Day, Christian Taylor, Troy Robinson, Ashams Pharaoh Manley, Michael Brown, Nathaniel Harris Pickett, Peter Gaines, Sandra Bland, Benni LEe Tignor, Michael Espinal, Torrey Robinson, Darius Robinson, Eric Harris, Ezell Ford, Walter Scott, Dante Parker, Felix Kumi, Michael Noel, Kevin Hicks, William Chapman II, Alexia Christian, Michelle Cusseaux, Kevin Matthews, Mary Truxillo, Demarcus Semer, Keith Harrison McLeod, Laquan McDonald, Bettie Jones, Junior Prosper, Lamontez Jones, Brendon Glenn, Tanisha Anderson, Víctor Manuel Larosa, Quintonio Leggier, Willie Tillman, Akai Gurley, Paterson Brown, Keith Childress Jr., Terrill Thomas, Jonathan Sanders, Rumain Brisbon, Janet Wilson, Sylville Smith, Alton Sterling, Freddie Blue, Dominic Hutchinson, Jerame Reid, George Mann, Matthew Ajibade, Joseph Mann, Salvado Ellswood, Anthony Ashford, Alonzo Smith, Randy Nelson, Antronie Scott, Philando Castile, Tyree Crawford, India Kager, Pamela Turner, Wendell Celestine, Terrence Crutcher, Albert Joseph, Davis Darrius, Stewart Frank Smart, David Joseph, Paul O'Neal, Breonna Taylor, Ronnell Foster, Alteria Woods, Christopher Mccorvey, Eric Reason, Stephon Clark, Antwon Rose II, John Crawford III, Dominique Clayton, Atatiana Jefferson, Jordan Edwards, Christopher Whitfield, Michael Lorenzo Dean, and Aaron Bailey. #nojusticenopeace #BLACKLIVESMATTER",mara jay all were niggas,30,651
Even though I love all of Gambino's work I like this song specifically because it reflects his earlier work like camp where he also used music and song to show serious problems in the world,Yeah true. It feels very Bino-ish without even being about him,1,2
"Notice how the dancing catches your eye throughout the video? He’s distracting us from the chaos going in the background. I bet you didn’t even notice that dude riding the horse at the end. It’s a good representation of what people in America do today. They blind us by telling us “Oh yes America is wonderful! We have nice cars and houses, we have beautiful spots for you to discover!” But beneath that?? Blatant racism, homophobia, transphobia, ableism, and misogyny. This is America.",Omg yessssssss,6,15
"It’s not whites vs blacks, it’s everyone vs racists. This is America.",EXACTLY. it's not a race war.,250,11658
I just figured out childish gambino and donald glover are the same person...,Lol,1,2
"0:53

Who remembers that this was a meme😂😂😂😂",ThanksIHateBTS,1,1
"Man, the director of this did a really nice job. I really liked the oddness of the video, adds a lot to the music.",Same director who did Clapping for the Wrong Reasons and Atlanta.,37,4093
Who else is here after Minneapolis police applied pressure on a George Floyds neck until he died.,"I normally support the police because they protect us and allow us to keep our freedom however I will say that George Floyd’s death should not have happened and that there definitely are some racist cops out there. Most aren’t, but still, there shouldn’t be any.",480,137508
"rest in peace george floyd, and to all black men and women that were brutally murdered or abused by law enforcement. i’m not black, but i see you. im not black, but i hear you. im not black, but i mourn with you. ✊🏿✊🏾✊🏽",Thanks :thumbs_up_medium_skin_tone:,72,1494
"They were just singing, and this guy without a T-short shooted them...
*Yeah, I think this is America*",Kubra that’s gangster,3,6
"i love this music video, especially when he kills them",same,1,1
Who’s here after Floyd’s murder by Minneapolis cops,JUSTICE FOR GEORGE FLOYD :raised_fist_medium-dark_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_medium-dark_skin_tone:,163,7820
"He is a king he predicted the future
*This is America*",WHYY,2,2
I never listened to this song when it first came out. Listening to this actually is a good representation of America. I swear as soon as I turn 18 I’m moving to Canada,Latin America: ._. XD,1,4
All the dislikes are from children who don’t know how much danger black people are in.,Yes,3,25
How election day is gonna be,Yesterday was election day,1,2
It’s not blacks against racism it’s everyone against racism!,It's white vs non white.,8,136
So now white kids on tik tok are totally missing the point of this vid to throw pity parties LMAO,I saw someone mentioned that TikTok made this song famous and I checked in out...do they seriously not get the irony. He makes references to the fact that these violent things happen but hey lets party and dance,4,138
I just noticed SZA was in this,Me too,1,2
"Eminem:diss rappers 








Childish Gambino:diss America",Diss is america,298,62822
Everytime a mass shooting happens in America we will comeback to this video,@MR. Right yea,37,1722
"Throws some tea in the sea:
*This is America*",That was terrorism during it's time.,34,4941
"*_""Racism is not getting worse ... It is being recorded.""_*

*-Will Smith*",:0,56,953
Came to watch again after another senseless death by a police officer. Anyone else?,Yes,143,10253
"R.I.P Ahmaud Arbery
Edit: R.I.P George Floyd",#justiceforahmaudarbery,48,676
"Teacher - why did you come to school without a shirt 


Me - this is America",Oh no...,69,9887
The dislikes are from angry Americans that refuse to believe this is true,You do know that people that arent from america can dislike it right?,13,471
This song is defintely explaining whats going on in America right now,"not only in america, but in the hole world",2,118
"Columbus : This is India?
Americans : This is America.",Lmao,38,5052
I've changed this comment so you'll never know how I got so many likes.,Great neme,26,1535
Right now ESPN and the NFL are using George Floyd and Colin Kaepernick in their ads... after they ruined Kaepernick's career for peacefully protesting. This is America.,all the world with you #blacklivesmatter support from iraq,4,250
"I also just noticed when he says, Don't catch you slippin now the first time, he looks away angry, but then turns to face the camera with an exaggerated smile on his face the second time he says it.","what does ""don't catch you slippin now"" mean?",1,1
Just watched a white man in a police uniform murder George Floyd in broad daylight as people stood around and watched and live streamed.  This is America.,It makes my blood boil.,6,184
"Notice how everyone was still dancing while shit was happening in the back, that’s a representation of how the media tries to distract everyone with fun stuff while real things are happening on the earth","Yesss, speak on the truth...the brainwashed will portray this video as violent not appropriate for tv...smh!",7,456
honestly the choreographer for this video is god tier,Yeah this such a good music video,7,1196
"people saying this is becoming more and more accurate. that's not true, it was always accurate it's just in front of the world now",Yea they must have been living in a bubble,4,297
**I don't understand school shooting memes..maybe they are aimed at a younger audience.**,This comment was slept on,220,22036
The way this aged is sadly true. This is America,It’s been like this all along:broken_heart: people just didn’t realise till now,5,508
"Since this song has released, barely anything has changed 😔





*_R.I.P George Floyd xxxx_*",Sadly. It’s very heartbreaking,3,205
"Its soo insane that they named *2 CONTINENTS* ""America"" because of this song",No,452,41265
XD NADIE HABLA ESPAÑOL,Ya ves,1,2
"Me: Mom why is there a person without a shirt dancing as hell?

My mom: *_Americans_*",hahahhahaahhaha Focked!,10,1231
